Entity,Code,Year,MaleFemaleRatio
Afghanistan,AFG,2004,0.566015727
Albania,ALB,2004,1.539476417
Algeria,DZA,2004,1.118297833
Andorra,AND,2004,2.772599151
Angola,AGO,2004,2.636720505
Argentina,ARG,2004,4.059352666
Armenia,ARM,2004,4.144052589
Australia,AUS,2004,3.8622851
Austria,AUT,2004,3.745922894
Azerbaijan,AZE,2004,4.273433111
Bahamas,BHS,2004,3.254148553
Bahrain,BHR,2004,9.134470428
Bangladesh,BGD,2004,1.028665298
Barbados,BRB,2004,7.869119819
Belarus,BLR,2004,6.753238872
Belgium,BEL,2004,2.940503416
Belize,BLZ,2004,9.263307815
Benin,BEN,2004,1.800661464
Bhutan,BTN,2004,1.441894759
Bolivia,BOL,2004,2.523503945
Bosnia and Herzegovina,BIH,2004,3.019754723
Botswana,BWA,2004,1.467757614
Brazil,BRA,2004,4.012724463
Brunei,BRN,2004,6.169003659
Bulgaria,BGR,2004,3.439459096
Burkina Faso,BFA,2004,1.961632006
Burundi,BDI,2004,3.20470341
Cambodia,KHM,2004,2.039543181
Cameroon,CMR,2004,1.738670792
Canada,CAN,2004,3.200613931
Cape Verde,CPV,2004,1.454915803
Central African Republic,CAF,2004,2.171511745
Chad,TCD,2004,2.136581112
Chile,CHL,2004,5.810107581
China,CHN,2004,0.886915577
Colombia,COL,2004,4.078353042
Comoros,COM,2004,1.741889996
Congo,COG,2004,1.889938467
Cook Islands,COK,2004,1.626312194
Costa Rica,CRI,2004,6.522532033
Cote d'Ivoire,CIV,2004,2.370370419
Croatia,HRV,2004,3.37384878
Cuba,CUB,2004,3.117771945
Cyprus,CYP,2004,3.557614958
Czech Republic,CZE,2004,5.327087639
Democratic Republic of Congo,COD,2004,3.13927733
Denmark,DNK,2004,2.584449344
Djibouti,DJI,2004,1.37872363
Dominica,DMA,2004,5.676514798
Dominican Republic,DOM,2004,4.303151319
Ecuador,ECU,2004,2.643761066
Egypt,EGY,2004,1.256994462
El Salvador,SLV,2004,3.18823108
Equatorial Guinea,GNQ,2004,1.887995474
Eritrea,ERI,2004,1.84275296
Estonia,EST,2004,5.965503758
Ethiopia,ETH,2004,2.341155206
Fiji,FJI,2004,1.378319052
Finland,FIN,2004,3.326324471
France,FRA,2004,2.95055932
Gabon,GAB,2004,1.524788381
Gambia,GMB,2004,1.796989903
Georgia,GEO,2004,3.788445906
Germany,DEU,2004,3.467389701
Ghana,GHA,2004,1.265766905
Greece,GRC,2004,4.436214924
Grenada,GRD,2004,21.40290984
Guatemala,GTM,2004,3.318577483
Guinea,GIN,2004,1.772854089
Guinea-Bissau,GNB,2004,2.221801504
Guyana,GUY,2004,2.356663202
Haiti,HTI,2004,2.074306229
Honduras,HND,2004,1.982384683
Hungary,HUN,2004,4.134554797
Iceland,ISL,2004,2.904866045
India,IND,2004,1.585035842
Indonesia,IDN,2004,1.477976233
Iran,IRN,2004,1.329288785
Iraq,IRQ,2004,3.042333818
Ireland,IRL,2004,5.382091413
Israel,ISR,2004,3.820842776
Italy,ITA,2004,3.802960633
Jamaica,JAM,2004,2.799214234
Japan,JPN,2004,2.942084213
Jordan,JOR,2004,2.630502343
Kazakhstan,KAZ,2004,6.042292619
Kenya,KEN,2004,1.886605931
Kuwait,KWT,2004,1.48732201
Kyrgyzstan,KGZ,2004,5.558093298
Laos,LAO,2004,1.223519639
Latvia,LVA,2004,6.06133563
Lebanon,LBN,2004,1.224345145
Lesotho,LSO,2004,1.809793721
Liberia,LBR,2004,2.876893769
Libya,LBY,2004,1.225710376
Lithuania,LTU,2004,5.63534718
Luxembourg,LUX,2004,3.394283323
Macedonia,MKD,2004,3.695168165
Madagascar,MDG,2004,1.769818735
Malawi,MWI,2004,2.172796069
Malaysia,MYS,2004,2.153611645
Maldives,MDV,2004,1.248517624
Mali,MLI,2004,2.392694628
Malta,MLT,2004,2.281783775
Marshall Islands,MHL,2004,1.062101027
Mauritania,MRT,2004,1.79935687
Mauritius,MUS,2004,3.513487711
Mexico,MEX,2004,5.612307792
Micronesia (country),FSM,2004,1.10338456
Moldova,MDA,2004,6.016782013
Monaco,MCO,2004,2.425708119
Mongolia,MNG,2004,3.858107867
Morocco,MAR,2004,1.0050237
Mozambique,MOZ,2004,1.898179484
Myanmar,MMR,2004,1.398082086
Namibia,NAM,2004,1.734348334
Nauru,NRU,2004,0
Nepal,NPL,2004,1.125403856
Netherlands,NLD,2004,2.261974111
New Zealand,NZL,2004,3.511448179
Nicaragua,NIC,2004,3.715417387
Niger,NER,2004,2.585855798
Nigeria,NGA,2004,1.960473789
Niue,NIU,2004,1.309860577
North Korea,PRK,2004,1.455231028
Norway,NOR,2004,2.157884878
Oman,OMN,2004,11.30264588
Pakistan,PAK,2004,0.982860794
Palau,PLW,2004,1.337889492
Panama,PAN,2004,4.74316545
Papua New Guinea,PNG,2004,1.39192633
Paraguay,PRY,2004,2.350272649
Peru,PER,2004,2.054939315
Philippines,PHL,2004,2.959846786
Poland,POL,2004,6.430354399
Portugal,PRT,2004,4.071281709
Qatar,QAT,2004,2.834739645
Romania,ROU,2004,5.973994349
Russia,RUS,2004,6.406076351
Rwanda,RWA,2004,2.241193692
Saint Lucia,LCA,2004,3.937635286
Saint Vincent and the Grenadines,VCT,2004,6.398607653
Samoa,WSM,2004,1.067897852
San Marino,SMR,2004,7.604204375
Sao Tome and Principe,STP,2004,3.496785929
Saudi Arabia,SAU,2004,6.177698652
Senegal,SEN,2004,1.784673962
Serbia,SRB,2004,3.207562626
Serbia and Montenegro,OWID_SRM,2004,2.770930828
Seychelles,SYC,2004,104.514093
Sierra Leone,SLE,2004,3.095580154
Singapore,SGP,2004,1.671576762
Slovakia,SVK,2004,5.729718497
Slovenia,SVN,2004,2.913347755
Solomon Islands,SLB,2004,1.210843102
Somalia,SOM,2004,1.224466899
South Africa,ZAF,2004,3.572724282
South Korea,KOR,2004,2.503533298
Spain,ESP,2004,3.38880377
Sri Lanka,LKA,2004,3.931918745
Sudan,SDN,2004,2.295012478
Suriname,SUR,2004,3.423247217
Swaziland,SWZ,2004,1.41150863
Sweden,SWE,2004,2.658866463
Switzerland,CHE,2004,2.358507487
Syria,SYR,2004,1.337034884
Tajikistan,TJK,2004,1.545597509
Tanzania,TZA,2004,2.258286248
Thailand,THA,2004,2.687299009
Timor,TLS,2004,1.773626841
Togo,TGO,2004,1.881027676
Tonga,TON,2004,0.759847424
Trinidad and Tobago,TTO,2004,3.140495729
Tunisia,TUN,2004,2.1958806
Turkey,TUR,2004,1.736409132
Turkmenistan,TKM,2004,5.208341721
Tuvalu,TUV,2004,1.109834388
Uganda,UGA,2004,2.090610166
Ukraine,UKR,2004,6.931906517
United Arab Emirates,ARE,2004,6.58628422
United Kingdom,GBR,2004,3.397484655
United States,USA,2004,3.875764103
Uruguay,URY,2004,4.190918808
Uzbekistan,UZB,2004,3.38781336
Vanuatu,VUT,2004,1.134425804
Venezuela,VEN,2004,4.561073873
Vietnam,VNM,2004,1.530401986
Yemen,YEM,2004,1.346500059
Zambia,ZMB,2004,2.077426836
Zimbabwe,ZWE,2004,2.008948371
Argentina,ARG,2003,4.128135483
Australia,AUS,2003,3.663347547
Austria,AUT,2003,3.213522051
Belarus,BLR,2003,6.992610451
Brazil,BRA,2003,4.252936143
Bulgaria,BGR,2003,3.273246387
Canada,CAN,2003,3.439905182
Chile,CHL,2003,5.83817443
Costa Rica,CRI,2003,5.55339122
Croatia,HRV,2003,4.58061231
Cuba,CUB,2003,3.063015419
Czech Republic,CZE,2003,4.62659333
Denmark,DNK,2003,3.410896413
Estonia,EST,2003,5.800660411
Finland,FIN,2003,3.373132233
France,FRA,2003,3.173822537
Germany,DEU,2003,3.303143539
Greece,GRC,2003,4.35647393
Guatemala,GTM,2003,4.778013168
Hungary,HUN,2003,4.492666406
Ireland,IRL,2003,3.811698281
Israel,ISR,2003,5.327654453
Italy,ITA,2003,3.499713985
Japan,JPN,2003,3.000827432
Kazakhstan,KAZ,2003,6.070551623
Kyrgyzstan,KGZ,2003,5.531125707
Latvia,LVA,2003,5.396543884
Lithuania,LTU,2003,6.108692862
Macedonia,MKD,2003,2.61798713
Mauritius,MUS,2003,2.753936083
Mexico,MEX,2003,5.444061935
Moldova,MDA,2003,7.36248994
Netherlands,NLD,2003,2.300795947
New Zealand,NZL,2003,2.794527975
Norway,NOR,2003,2.960253518
Panama,PAN,2003,8.544194268
Paraguay,PRY,2003,3.69181272
Philippines,PHL,2003,3.050469855
Poland,POL,2003,6.397760598
Portugal,PRT,2003,3.794568134
Romania,ROU,2003,5.303074516
Russia,RUS,2003,6.603441592
Serbia,SRB,2003,3.23342164
Singapore,SGP,2003,1.818094415
Slovakia,SVK,2003,7.242331455
Slovenia,SVN,2003,4.380150431
South Korea,KOR,2003,2.553459175
Spain,ESP,2003,3.452662592
Sweden,SWE,2003,2.262794901
Switzerland,CHE,2003,2.461131087
Ukraine,UKR,2003,6.454491762
United Kingdom,GBR,2003,3.598160623
United States,USA,2003,4.204120436
Uzbekistan,UZB,2003,3.034556733
Venezuela,VEN,2003,4.725729448
Argentina,ARG,2002,3.794609993
Australia,AUS,2002,3.746938641
Austria,AUT,2002,3.932702446
Belarus,BLR,2002,6.873178571
Brazil,BRA,2002,3.857759132
Bulgaria,BGR,2002,3.538991202
Canada,CAN,2002,3.548051357
Chile,CHL,2002,5.789855197
Colombia,COL,2002,3.693608357
Costa Rica,CRI,2002,6.3852624
Croatia,HRV,2002,3.614649285
Cuba,CUB,2002,2.550621793
Czech Republic,CZE,2002,4.414941726
Denmark,DNK,2002,3.237481952
Estonia,EST,2002,5.829289222
Finland,FIN,2002,3.319657557
France,FRA,2002,2.993906671
Germany,DEU,2002,3.257324594
Greece,GRC,2002,4.219461083
Guatemala,GTM,2002,3.586991512
Hungary,HUN,2002,4.339453021
Ireland,IRL,2002,4.589023241
Israel,ISR,2002,3.486459082
Italy,ITA,2002,3.842771794
Japan,JPN,2002,2.974292498
Kazakhstan,KAZ,2002,6.071455657
Kuwait,KWT,2002,1.374412909
Kyrgyzstan,KGZ,2002,4.794583934
Latvia,LVA,2002,4.951250516
Lithuania,LTU,2002,7.338491262
Macedonia,MKD,2002,2.237042589
Mauritius,MUS,2002,3.71627423
Mexico,MEX,2002,5.434984077
Moldova,MDA,2002,5.794819677
Netherlands,NLD,2002,2.265242943
New Zealand,NZL,2002,3.218010278
Norway,NOR,2002,2.74918147
Panama,PAN,2002,4.389134975
Paraguay,PRY,2002,1.823833659
Philippines,PHL,2002,3.404824857
Poland,POL,2002,5.762367624
Portugal,PRT,2002,4.013064087
Romania,ROU,2002,5.470420719
Russia,RUS,2002,6.518622265
Serbia,SRB,2002,3.287405279
Serbia and Montenegro,OWID_SRM,2002,3.23311154
Singapore,SGP,2002,1.533512387
Slovakia,SVK,2002,7.110505218
Slovenia,SVN,2002,4.601557227
South Korea,KOR,2002,2.527554516
Spain,ESP,2002,3.427447258
Sweden,SWE,2002,2.831184593
Switzerland,CHE,2002,2.477347775
Trinidad and Tobago,TTO,2002,5.373888658
Ukraine,UKR,2002,6.468624555
United Kingdom,GBR,2002,3.664598076
United States,USA,2002,4.283906955
Uzbekistan,UZB,2002,3.220203398
Venezuela,VEN,2002,5.295599472
Argentina,ARG,2001,3.961341267
Australia,AUS,2001,3.863958622
Austria,AUT,2001,3.298653176
Bahrain,BHR,2001,4.668340862
Belarus,BLR,2001,7.416400118
Brazil,BRA,2001,4.337808469
Bulgaria,BGR,2001,3.157735023
Canada,CAN,2001,3.558097695
Chile,CHL,2001,6.384134757
Colombia,COL,2001,3.978047188
Costa Rica,CRI,2001,6.635714217
Croatia,HRV,2001,3.867379735
Cuba,CUB,2001,2.653513123
Czech Republic,CZE,2001,4.719841689
Denmark,DNK,2001,2.753748546
Estonia,EST,2001,5.433802767
Finland,FIN,2001,3.767049917
France,FRA,2001,3.084421736
Georgia,GEO,2001,3.786698319
Germany,DEU,2001,3.420521179
Greece,GRC,2001,6.363147006
Guatemala,GTM,2001,4.023711066
Hungary,HUN,2001,4.287958583
Ireland,IRL,2001,5.227613766
Israel,ISR,2001,4.876410709
Italy,ITA,2001,3.574970268
Japan,JPN,2001,2.869461011
Kazakhstan,KAZ,2001,6.503953387
Kuwait,KWT,2001,1.790319318
Kyrgyzstan,KGZ,2001,6.882778187
Lithuania,LTU,2001,5.903449146
Macedonia,MKD,2001,3.226565818
Mauritius,MUS,2001,2.136808695
Mexico,MEX,2001,5.230734589
Moldova,MDA,2001,6.117604874
Netherlands,NLD,2001,2.274700778
New Zealand,NZL,2001,3.459028727
Norway,NOR,2001,2.919713278
Panama,PAN,2001,5.992088579
Paraguay,PRY,2001,2.154250227
Philippines,PHL,2001,3.484155362
Poland,POL,2001,6.668454225
Portugal,PRT,2001,4.00979664
Russia,RUS,2001,6.748795263
Serbia,SRB,2001,3.053298989
Serbia and Montenegro,OWID_SRM,2001,2.870918445
Singapore,SGP,2001,1.773575196
Slovakia,SVK,2001,6.001798825
Slovenia,SVN,2001,4.500709628
Spain,ESP,2001,3.584073532
Sweden,SWE,2001,2.475840165
Switzerland,CHE,2001,2.790992374
Trinidad and Tobago,TTO,2001,4.164387002
Ukraine,UKR,2001,6.760671181
United Kingdom,GBR,2001,3.873499698
United States,USA,2001,4.379107249
Uruguay,URY,2001,3.868186804
Uzbekistan,UZB,2001,3.481518114
Venezuela,VEN,2001,5.5752894
Argentina,ARG,2000,4.428899013
Australia,AUS,2000,3.818559545
Austria,AUT,2000,3.215430474
Azerbaijan,AZE,2000,3.39623278
Bahrain,BHR,2000,18.74606683
Belarus,BLR,2000,7.669045516
Brazil,BRA,2000,4.29110706
Bulgaria,BGR,2000,3.205985584
Canada,CAN,2000,3.502487479
Chile,CHL,2000,6.504397011
Colombia,COL,2000,3.924088386
Costa Rica,CRI,2000,7.710554534
Croatia,HRV,2000,4.004246658
Cuba,CUB,2000,2.461033957
Czech Republic,CZE,2000,4.44039901
Denmark,DNK,2000,3.130395227
Egypt,EGY,2000,2.959798365
Estonia,EST,2000,4.542703151
Finland,FIN,2000,3.187509544
France,FRA,2000,3.129404065
Georgia,GEO,2000,5.007577622
Germany,DEU,2000,3.37549248
Greece,GRC,2000,3.778554289
Guatemala,GTM,2000,4.446214107
Hungary,HUN,2000,4.121234155
Ireland,IRL,2000,4.820789701
Israel,ISR,2000,3.877760177
Italy,ITA,2000,3.362136066
Japan,JPN,2000,2.880182508
Kuwait,KWT,2000,1.045165655
Kyrgyzstan,KGZ,2000,4.890424289
Latvia,LVA,2000,5.827325991
Lithuania,LTU,2000,5.368229243
Macedonia,MKD,2000,2.38605126
Mauritius,MUS,2000,3.677305793
Mexico,MEX,2000,6.19102111
Moldova,MDA,2000,7.231188918
Netherlands,NLD,2000,2.172852672
New Zealand,NZL,2000,4.779578087
Norway,NOR,2000,3.2238293
Panama,PAN,2000,7.108970168
Paraguay,PRY,2000,2.498762321
Philippines,PHL,2000,3.133889455
Poland,POL,2000,5.694518856
Portugal,PRT,2000,4.638172126
Romania,ROU,2000,5.275481884
Russia,RUS,2000,6.695433964
Serbia,SRB,2000,2.80661568
Serbia and Montenegro,OWID_SRM,2000,2.603951845
Singapore,SGP,2000,1.997721188
Slovakia,SVK,2000,5.027278877
Slovenia,SVN,2000,3.281306025
South Korea,KOR,2000,2.540778548
Sweden,SWE,2000,2.496470965
Trinidad and Tobago,TTO,2000,4.558944636
Ukraine,UKR,2000,6.060469966
United Kingdom,GBR,2000,3.599752993
United States,USA,2000,4.36236145
Uruguay,URY,2000,5.365562644
Uzbekistan,UZB,2000,3.414389799
Venezuela,VEN,2000,6.326830207
Argentina,ARG,1999,4.375385917
Australia,AUS,1999,4.120232937
Austria,AUT,1999,3.193820794
Azerbaijan,AZE,1999,3.795470236
Bahrain,BHR,1999,2.737241409
Belarus,BLR,1999,6.719917028
Belgium,BEL,1999,3.016504908
Brazil,BRA,1999,4.683287617
Bulgaria,BGR,1999,3.40091817
Canada,CAN,1999,3.982573961
Chile,CHL,1999,6.99345518
Colombia,COL,1999,4.082646751
Costa Rica,CRI,1999,9.570230992
Croatia,HRV,1999,3.528210379
Cuba,CUB,1999,2.50130413
Czech Republic,CZE,1999,4.783727715
Denmark,DNK,1999,3.140802935
Estonia,EST,1999,5.881282076
Finland,FIN,1999,4.051532933
France,FRA,1999,2.956713669
Georgia,GEO,1999,4.290267692
Germany,DEU,1999,3.246175282
Greece,GRC,1999,3.789475666
Guatemala,GTM,1999,5.849675806
Hungary,HUN,1999,4.29125106
Ireland,IRL,1999,4.283840797
Israel,ISR,1999,4.790627762
Italy,ITA,1999,3.453588758
Japan,JPN,1999,2.848545974
Kazakhstan,KAZ,1999,5.773803601
Kuwait,KWT,1999,1.531091348
Kyrgyzstan,KGZ,1999,5.115880063
Latvia,LVA,1999,4.704294672
Lithuania,LTU,1999,6.254113606
Macedonia,MKD,1999,2.372561094
Mauritius,MUS,1999,2.20536925
Mexico,MEX,1999,6.336265807
Moldova,MDA,1999,5.955596885
Netherlands,NLD,1999,2.121789281
New Zealand,NZL,1999,3.040444584
Norway,NOR,1999,2.849619614
Panama,PAN,1999,6.873224586
Paraguay,PRY,1999,2.109243826
Philippines,PHL,1999,3.095811142
Poland,POL,1999,6.31171747
Portugal,PRT,1999,3.572171151
Romania,ROU,1999,5.108432091
Russia,RUS,1999,6.10712824
Serbia,SRB,1999,2.768153171
Serbia and Montenegro,OWID_SRM,1999,2.497460042
Singapore,SGP,1999,2.226449959
Slovakia,SVK,1999,6.545924338
Slovenia,SVN,1999,3.7903853
South Korea,KOR,1999,2.602953902
Sweden,SWE,1999,2.423779754
Trinidad and Tobago,TTO,1999,4.24971035
Ukraine,UKR,1999,6.088929534
United Kingdom,GBR,1999,3.77796821
United States,USA,1999,4.376647989
Uruguay,URY,1999,4.76885908
Uzbekistan,UZB,1999,3.603140246
Venezuela,VEN,1999,5.294343549
Argentina,ARG,1998,3.890708634
Australia,AUS,1998,4.159641452
Austria,AUT,1998,3.661471461
Azerbaijan,AZE,1998,3.046275972
Belarus,BLR,1998,7.208325993
Belgium,BEL,1998,2.95548885
Brazil,BRA,1998,4.17527773
Bulgaria,BGR,1998,2.89385932
Canada,CAN,1998,3.885975861
Chile,CHL,1998,7.343281113
Colombia,COL,1998,3.793437095
Costa Rica,CRI,1998,9.008120172
Croatia,HRV,1998,3.387063068
Cuba,CUB,1998,2.123519936
Czech Republic,CZE,1998,4.463919803
Denmark,DNK,1998,2.864875836
Estonia,EST,1998,6.612321468
Finland,FIN,1998,3.874119164
France,FRA,1998,3.14510387
Georgia,GEO,1998,4.63645879
Germany,DEU,1998,3.379936197
Greece,GRC,1998,3.668269377
Guatemala,GTM,1998,4.194293578
Hungary,HUN,1998,4.145214935
Ireland,IRL,1998,5.934944835
Israel,ISR,1998,3.307602727
Italy,ITA,1998,3.709214287
Japan,JPN,1998,2.731787117
Kazakhstan,KAZ,1998,5.688855188
Kuwait,KWT,1998,0.758412111
Kyrgyzstan,KGZ,1998,5.361421419
Latvia,LVA,1998,5.422850053
Lithuania,LTU,1998,6.102399287
Macedonia,MKD,1998,1.798074999
Mauritius,MUS,1998,2.838593674
Mexico,MEX,1998,6.370482921
Moldova,MDA,1998,4.885211601
Netherlands,NLD,1998,2.147345205
New Zealand,NZL,1998,3.462256288
Norway,NOR,1998,2.814865784
Panama,PAN,1998,5.083716795
Paraguay,PRY,1998,2.664594213
Philippines,PHL,1998,3.330685249
Portugal,PRT,1998,3.742743834
Romania,ROU,1998,5.356088651
Russia,RUS,1998,6.158202376
Serbia,SRB,1998,2.765584152
Serbia and Montenegro,OWID_SRM,1998,2.525589267
Singapore,SGP,1998,1.608805157
Slovakia,SVK,1998,7.661244218
Slovenia,SVN,1998,4.038535083
South Korea,KOR,1998,2.84815903
Spain,ESP,1998,3.744633393
Sweden,SWE,1998,2.724075121
Trinidad and Tobago,TTO,1998,5.438615304
Turkmenistan,TKM,1998,4.116744605
Ukraine,UKR,1998,5.763897763
United Kingdom,GBR,1998,3.788157358
United States,USA,1998,4.359137973
Uruguay,URY,1998,4.398982664
Uzbekistan,UZB,1998,3.959603996
Venezuela,VEN,1998,5.287024692
Argentina,ARG,1997,3.37620366
Australia,AUS,1997,3.880978924
Austria,AUT,1997,3.413375538
Azerbaijan,AZE,1997,4.585919641
Belarus,BLR,1997,6.574483349
Brazil,BRA,1997,4.212573887
Bulgaria,BGR,1997,2.590735222
Canada,CAN,1997,3.922756202
Chile,CHL,1997,6.173814929
Colombia,COL,1997,4.064731246
Costa Rica,CRI,1997,6.175638305
Croatia,HRV,1997,3.458162881
Cuba,CUB,1997,2.215708641
Czech Republic,CZE,1997,4.365695423
Denmark,DNK,1997,2.405481154
Estonia,EST,1997,6.603741922
Finland,FIN,1997,3.953356022
France,FRA,1997,2.93738348
Georgia,GEO,1997,4.782753282
Germany,DEU,1997,3.183880734
Greece,GRC,1997,6.571657279
Guatemala,GTM,1997,3.81306972
Hungary,HUN,1997,3.902185121
Ireland,IRL,1997,4.390019628
Israel,ISR,1997,4.473137504
Italy,ITA,1997,3.501540283
Japan,JPN,1997,2.433664805
Kazakhstan,KAZ,1997,5.786206699
Kuwait,KWT,1997,0.641518079
Kyrgyzstan,KGZ,1997,5.111785521
Latvia,LVA,1997,5.34020681
Lithuania,LTU,1997,6.041508186
Macedonia,MKD,1997,2.958392478
Mauritius,MUS,1997,5.158883673
Mexico,MEX,1997,6.142243065
Moldova,MDA,1997,5.145916808
Netherlands,NLD,1997,2.141359489
New Zealand,NZL,1997,3.740708262
Norway,NOR,1997,2.738085131
Panama,PAN,1997,5.761552689
Paraguay,PRY,1997,2.273737118
Philippines,PHL,1997,2.946030441
Portugal,PRT,1997,3.857569938
Romania,ROU,1997,5.622819688
Russia,RUS,1997,6.132208127
Serbia and Montenegro,OWID_SRM,1997,2.466565512
Singapore,SGP,1997,1.998623254
Slovakia,SVK,1997,5.775233249
Slovenia,SVN,1997,4.60157148
South Korea,KOR,1997,2.47781302
Spain,ESP,1997,3.458765349
Sweden,SWE,1997,2.536467171
Switzerland,CHE,1997,3.048162237
Trinidad and Tobago,TTO,1997,4.629017144
Turkmenistan,TKM,1997,3.895862298
Ukraine,UKR,1997,5.92476558
United Kingdom,GBR,1997,3.676426246
United States,USA,1997,4.328221039
Uruguay,URY,1997,4.628014955
Uzbekistan,UZB,1997,3.959936882
Venezuela,VEN,1997,4.940247554
Argentina,ARG,1996,3.598924279
Australia,AUS,1996,4.390270908
Austria,AUT,1996,3.792497252
Azerbaijan,AZE,1996,4.969132491
Brazil,BRA,1996,4.09233042
Bulgaria,BGR,1996,3.205903789
Canada,CAN,1996,3.779624528
Chile,CHL,1996,6.997663442
Colombia,COL,1996,4.537959706
Costa Rica,CRI,1996,8.253902975
Croatia,HRV,1996,3.563932753
Cuba,CUB,1996,2.028845034
Czech Republic,CZE,1996,4.252806884
Denmark,DNK,1996,2.705085622
Estonia,EST,1996,5.628900636
Finland,FIN,1996,3.67799417
France,FRA,1996,2.939794121
Georgia,GEO,1996,4.29786186
Germany,DEU,1996,3.089283153
Greece,GRC,1996,5.463403119
Guatemala,GTM,1996,5.104404103
